year,region,all,event,count,percentage
2015,malaysia,172,5x5x5 Blindfolded,4,2.3255813953488373
2015,malaysia,172,5x5x5 Cube,29,16.86046511627907
2015,malaysia,172,Clock,8,4.651162790697675
2015,malaysia,172,Magic,0,0
2015,malaysia,172,Master Magic,0,0
2015,malaysia,172,Megaminx,13,7.55813953488372
2015,malaysia,172,Pyraminx,40,23.25581395348837
2015,malaysia,172,Square-1,8,4.651162790697675
2015,malaysia,172,2x2x2 Cube,99,57.55813953488372
2015,malaysia,172,3x3x3 With Feet,5,2.9069767441860463
2015,malaysia,172,6x6x6 Cube,11,6.395348837209303
2015,malaysia,172,7x7x7 Cube,9,5.232558139534884
2015,malaysia,172,Skewb,18,10.465116279069768
2016,global,27575,3x3x3 Cube,26383,95.67724388032637
2016,global,27575,3x3x3 Blindfolded,2469,8.953762466001812
2016,global,27575,3x3x3 Fewest Moves,1968,7.136899365367181
2016,global,27575,3x3x3 One-Handed,8669,31.437896645512236
2016,global,27575,4x4x4 Blindfolded,370,1.341795104261106
2016,global,27575,4x4x4 Cube,9128,33.10244786944696
2016,global,27575,5x5x5 Blindfolded,246,0.8921124206708976
2016,global,27575,5x5x5 Cube,4761,17.26563916591115
2016,global,27575,Clock,1452,5.265639165911152
2016,global,27575,Magic,0,0
2016,global,27575,Master Magic,0,0
2016,global,27575,Megaminx,2966,10.756119673617407
2016,global,27575,Pyraminx,11198,40.60924750679964
2016,global,27575,Square-1,2395,8.685403445149593
2016,global,27575,2x2x2 Cube,17546,63.630099728014514
2016,global,27575,3x3x3 With Feet,753,2.730734360834089
2016,global,27575,6x6x6 Cube,1723,6.248413417951042
2016,global,27575,7x7x7 Cube,1521,5.515865820489574
2016,global,27575,Skewb,6446,23.376246600181325
2016,malaysia,389,3x3x3 Cube,373,95.88688946015425
2016,malaysia,389,3x3x3 Blindfolded,28,7.197943444730077
2016,malaysia,389,3x3x3 Fewest Moves,17,4.370179948586118
2016,malaysia,389,3x3x3 One-Handed,145,37.275064267352185
2016,malaysia,389,4x4x4 Blindfolded,6,1.5424164524421593
2016,malaysia,389,4x4x4 Cube,136,34.96143958868895
2016,malaysia,389,5x5x5 Blindfolded,4,1.0282776349614395
2016,malaysia,389,5x5x5 Cube,77,19.794344473007712
2016,malaysia,389,Clock,16,4.113110539845758
2016,malaysia,389,Magic,0,0
2016,malaysia,389,Master Magic,0,0
2016,malaysia,389,Megaminx,37,9.511568123393316
2016,malaysia,389,Pyraminx,159,40.87403598971722
2016,malaysia,389,Square-1,38,9.768637532133676
2016,malaysia,389,2x2x2 Cube,271,69.66580976863753
2016,malaysia,389,3x3x3 With Feet,6,1.5424164524421593
2016,malaysia,389,6x6x6 Cube,15,3.8560411311053984
2016,malaysia,389,7x7x7 Cube,13,3.3419023136246784
2016,malaysia,389,Skewb,86,22.10796915167095
2017,global,36788,3x3x3 Cube,35243,95.80026095465914
2017,global,36788,3x3x3 Blindfolded,3312,9.00293573991519
2017,global,36788,3x3x3 Fewest Moves,2585,7.026747852560618
2017,global,36788,3x3x3 One-Handed,11759,31.964227465477872
2017,global,36788,4x4x4 Blindfolded,534,1.4515602913993695
2017,global,36788,4x4x4 Cube,12833,34.88365771447211
2017,global,36788,5x5x5 Blindfolded,356,0.9677068609329129
2017,global,36788,5x5x5 Cube,6455,17.54648254865717
2017,global,36788,Clock,2250,6.116124823311949
2017,global,36788,Magic,0,0
2017,global,36788,Master Magic,0,0
2017,global,36788,Megaminx,4740,12.88463629444384
2017,global,36788,Pyraminx,16084,43.72077851473307
2017,global,36788,Square-1,3891,10.576818527780798
2017,global,36788,2x2x2 Cube,23708,64.4449276938132
2017,global,36788,3x3x3 With Feet,1042,2.832445362618245
2017,global,36788,6x6x6 Cube,2509,6.8201587474176355
2017,global,36788,7x7x7 Cube,2100,5.708383168424486
2017,global,36788,Skewb,10060,27.34587365445254
2017,malaysia,671,3x3x3 Cube,652,97.16840536512667
2017,malaysia,671,3x3x3 Blindfolded,41,6.110283159463488
2017,malaysia,671,3x3x3 Fewest Moves,28,4.172876304023846
2017,malaysia,671,3x3x3 One-Handed,295,43.96423248882265
2017,malaysia,671,4x4x4 Blindfolded,7,1.0432190760059614
2017,malaysia,671,4x4x4 Cube,270,40.23845007451565
2017,malaysia,671,5x5x5 Blindfolded,5,0.7451564828614009
2017,malaysia,671,5x5x5 Cube,119,17.73472429210134
2017,malaysia,671,Clock,47,7.004470938897168
2017,malaysia,671,Magic,0,0
2017,malaysia,671,Master Magic,0,0
2017,malaysia,671,Megaminx,84,12.518628912071536
2017,malaysia,671,Pyraminx,296,44.113263785394935
2017,malaysia,671,Square-1,83,12.369597615499254
2017,malaysia,671,2x2x2 Cube,486,72.42921013412817
2017,malaysia,671,3x3x3 With Feet,25,3.7257824143070044
2017,malaysia,671,6x6x6 Cube,39,5.812220566318927
2017,malaysia,671,7x7x7 Cube,31,4.619970193740686
2017,malaysia,671,Skewb,202,30.104321907600596
2018,global,43642,3x3x3 Cube,41638,95.40809312130516
2018,global,43642,3x3x3 Blindfolded,3741,8.572017781036616
2018,global,43642,3x3x3 Fewest Moves,3032,6.9474359561889925
2018,global,43642,3x3x3 One-Handed,13657,31.293249621923835
2018,global,43642,4x4x4 Blindfolded,704,1.6131249713578661
2018,global,43642,4x4x4 Cube,15805,36.21511388112369
2018,global,43642,5x5x5 Blindfolded,463,1.0609046331515513
2018,global,43642,5x5x5 Cube,8172,18.725081343659777
2018,global,43642,Clock,2994,6.860363869666834
2018,global,43642,Magic,0,0
2018,global,43642,Master Magic,0,0
2018,global,43642,Megaminx,6473,14.832042527840153
2018,global,43642,Pyraminx,20707,47.44741304248201
2018,global,43642,Square-1,4768,10.925255487832821
2018,global,43642,2x2x2 Cube,28699,65.76004766051051
2018,global,43642,3x3x3 With Feet,1284,2.9421199761697445
2018,global,43642,6x6x6 Cube,3444,7.891480683745017
2018,global,43642,7x7x7 Cube,2784,6.379176023097016
2018,global,43642,Skewb,13025,29.84510334081848
2018,malaysia,583,3x3x3 Cube,560,96.0548885077187
2018,malaysia,583,3x3x3 Blindfolded,31,5.317324185248713
2018,malaysia,583,3x3x3 Fewest Moves,32,5.4888507718696395
2018,malaysia,583,3x3x3 One-Handed,234,40.13722126929674
2018,malaysia,583,4x4x4 Blindfolded,10,1.7152658662092626
2018,malaysia,583,4x4x4 Cube,264,45.28301886792453
2018,malaysia,583,5x5x5 Blindfolded,9,1.5437392795883362
2018,malaysia,583,5x5x5 Cube,117,20.06861063464837
2018,malaysia,583,Clock,54,9.262435677530018
2018,malaysia,583,Magic,0,0
2018,malaysia,583,Master Magic,0,0
2018,malaysia,583,Megaminx,113,19.382504288164665
2018,malaysia,583,Pyraminx,269,46.14065180102916
2018,malaysia,583,Square-1,71,12.178387650085764
2018,malaysia,583,2x2x2 Cube,408,69.9828473413379
2018,malaysia,583,3x3x3 With Feet,23,3.9451114922813035
2018,malaysia,583,6x6x6 Cube,38,6.518010291595197
2018,malaysia,583,7x7x7 Cube,32,5.4888507718696395
2018,malaysia,583,Skewb,214,36.706689536878216
2019,global,48405,3x3x3 Cube,46273,95.59549633302345
2019,global,48405,3x3x3 Blindfolded,4434,9.160210722032849
2019,global,48405,3x3x3 Fewest Moves,3589,7.414523293048239
2019,global,48405,3x3x3 One-Handed,14647,30.259270736494166
